# Date,Receipt_Count
2022-09-13,8680307
2022-09-14,8680307
2022-09-15,8680307
2022-09-16,8680307
2022-09-17,8680307
2022-09-18,8680307
2022-09-19,8680307
2022-09-20,8680307
2022-09-21,8680307
2022-09-22,8680307
2022-09-23,8680307
2022-09-24,8680307
2022-09-25,8680307
2022-09-26,8680307
2022-09-27,8680307
2022-09-28,8680307
2022-09-29,8680307
2022-09-30,8680307
2022-10-01,8680307
2022-10-02,8680307
2022-10-03,8680307
2022-10-04,8680307
2022-10-05,8680307
2022-10-06,8680307
2022-10-07,8680307
2022-10-08,8680307
2022-10-09,8680307
2022-10-10,8680307
2022-10-11,8680307
2022-10-12,8680307
2022-10-13,8680307
2022-10-14,8680307
2022-10-15,8680307
2022-10-16,8680307
2022-10-17,8680307
2022-10-18,8680307
2022-10-19,8680307
2022-10-20,8680307
2022-10-21,8680307
2022-10-22,8680307
2022-10-23,8680307
2022-10-24,8680307
2022-10-25,8680307
2022-10-26,8680307
2022-10-27,8680307
2022-10-28,8680307
2022-10-29,8680307
2022-10-30,8680307
2022-10-31,8680307
2022-11-01,8680307
2022-11-02,8680307
2022-11-03,8680307
2022-11-04,8680307
2022-11-05,8680307
2022-11-06,8680307
2022-11-07,8680307
2022-11-08,8680307
2022-11-09,8680307
2022-11-10,8680307
2022-11-11,8680307
2022-11-12,8680307
2022-11-13,8680307
2022-11-14,8680307
2022-11-15,8680307
2022-11-16,8680307
2022-11-17,8680307
2022-11-18,8680307
2022-11-19,8680307
2022-11-20,8680307
2022-11-21,8680307
2022-11-22,8680307
2022-11-23,8680307
2022-11-24,8680307
2022-11-25,8680307
2022-11-26,8680307
2022-11-27,8680307
2022-11-28,8680307
2022-11-29,8680307
2022-11-30,8680307
2022-12-01,8680307
2022-12-02,8680307
2022-12-03,8680307
2022-12-04,8680307
2022-12-05,8680307
2022-12-06,8680307
2022-12-07,8680307
2022-12-08,8680307
2022-12-09,8680307
2022-12-10,8680307
2022-12-11,8680307
2022-12-12,8680307
2022-12-13,8680307
2022-12-14,8680307
2022-12-15,8680307
2022-12-16,8680307
2022-12-17,8680307
2022-12-18,8680307
2022-12-19,8680307
2022-12-20,8680307
2022-12-21,8680307
2022-12-22,8680307
2022-12-23,8680307
2022-12-24,8680307
2022-12-25,8680307
2022-12-26,8680307
2022-12-27,8680307
2022-12-28,8680307
2022-12-29,8680307
2022-12-30,8680307
2022-12-31,8680307
